#,Gender,Height,Weight,DOB,Age,Sun_Sign,CGPA,Programming_Rate,Preferred_Lang,Sim_Course,Focus,DS_Same_As_DA,Mean,Median,Sleeping_Time,Sleep_Duration,Like_Maths,Engg_First_Choice,Inst_Choice,Physical_Activity
1,Female,5'3,74,7/30/2000,19,Aquarius,8.29,3,C++,No,Data,No,6,8,11:00:00 PM,5,Yes,Yes,Doesn't matter,On daily basis
2,Male,176,62,6/4/2000,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week
3,Male,176,62,6/4/2000,19,Gemini,8.27,4,C,No,Data,May be,6,9,1:00:00 AM,6.5,No,Yes,Doesn't matter,Once in a week
4,Female,145,60,2/21/2000,18,Don't Know,9.21,3,Python,No,Data,No,6,9,11:00:00 AM,6,Yes,Yes,Doesn't matter,Once in a week
5,Male,185,56,8/15/2000,19,Leo,8.46,4,C,No,Data,No,6,8,11:30:00 PM,8,Yes,Yes,Doesn't matter,Once in a week
6,Male,170,79,6/21/1999,19,Cancer,9.7,4,C,No,Data,No,6,8,1:30:00 AM,5,No,Yes,Female,On daily basis
7,Male,168,58,6/3/2000,19,Don't Know,7.46,2,C,No,Data,No,6,8.5,12:00:00 PM,6,Yes,Yes,Doesn't matter,On daily basis
8,Female,156,63,10/25/1999,19,Scorpio,9.42,3,C,Yes,Science,No,6,8,12:00:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
9,Female,158,65,10/12/2000,18,Libra,9.17,3,C,No,Science,No,6,8,1:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
10,Male,180.34,60,7/10/2000,19,Cancer,8.25,4,C,No,Data,No,6,8,12:30:00 AM,7,,Yes,Doesn't matter,On daily basis
11,Female,150,51,4/13/2000,18,Cancer,6.5,2,C,No,Data,May be,9,8,11:00:00 PM,6-7 ,Yes,Doesn't matter,Doesn't matter,Not so often
12,Male,165.1,64,9/10/2000,18,Virgo,8.75,4,Python,Yes,Data,No,6,8,10:30:00 PM,8,Yes,Yes,Doesn't matter,Not so often
13,Male,193,69,1/20/2018,18,Gemini,7.25,3,C,Yes,Data,May be,15,8,10:00:00 PM,8,No,Doesn't matter,Doesn't matter,Never
14,Male,183,57,9/6/2000,18,Virgo,7.94,3,Python,Yes,Data,No,6,8,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
15,Male,175,70,1/8/2000,19,Capricorn,7.23,3,Python,No,Data,Yes,15,8,1:00:00 AM,5-6,Yes,Not at all,Doesn't matter,On daily basis
16,Male,175,49,12/23/1999,19,Capricorn,8.62,3,C,No,Data,May be,6,9,12:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
17,Female,156,40,11/25/2000,18,Sagittarius,8.75,3,C,No,Data,May be,6,8,10:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
18,Male,180,58.2,4/1/2000,19,Aries,9.52,3,C,Yes,Science,May be,6,8,11:30:00 AM,7,Yes,Doesn't matter,Doesn't matter,On daily basis
19,Female,5.4,61,12/14/2000,18,Aquarius,7.56,3,C,No,Data,May be,15,9,11:30:00 PM,7,Yes,Yes,Doesn't matter,On daily basis
20,Male,178,60,1/7/2000,18,Capricorn,7.92,4,C,No,Data,May be,6,9,12:00:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
21,Male,180,67,2/14/2000,18,Aquarius,6.3,2,C++,No,Data,No,6,8,12:00:00 PM,6,No,Not at all,Doesn't matter,Once in a month
22,Male,160,80,11/25/2000,18,Sagittarius,9.54,3,Python,No,Data,May be,6,8,11:30:00 AM,7,Yes,Yes,Doesn't matter,Once in a week
23,Male,170,70,5/21/2000,19,Cancer,7.565,3,C,No,Science,May be,6,9,6:00:00 AM,9,Yes,Yes,Doesn't matter,Once in a week
24,Male,179,88,1/7/2000,19,Capricorn,6,3,C++,No,Data,No,6,8,12:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
25,Male,182.8,58,6/10/2000,20,Scorpio,7.65,4,Python,Yes,Data,May be,6,8,11:15:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
26,Male,179,57.5,7/13/2000,19,Cancer,9.19,4,Python,Yes,Data,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
27,Male,180,54,4/19/2000,19,Aries,7.85,3,Python,No,Data,May be,6,8,10:00:00 AM,10,Yes,Yes,Doesn't matter,Once in a week
28,Female,156,46,12/24/1999,19,Capricorn,9.04,4,C,No,Data,No,6,8,11:00:00 AM,7,Yes,Yes,Doesn't matter,Not so often
29,Male,170,55,7/28/2000,19,Don't Know,8.79,4,C,No,Data,No,6,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,Not so often
30,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
31,Male,178,68,6/26/1999,19,Capricorn,8.65,3,C,No,Data,May be,15,8,12:00:00 AM,7,Yes,Yes,Doesn't matter,On daily basis
32,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
33,Male,164,49,2/16/2000,19,Aquarius,8.2,3,C,Yes,Data,May be,6,8,10:00:00 AM,8,No,Yes,Doesn't matter,On daily basis
34,Male,168,63,10/8/1999,20,Libra,8.5,3,C++,Yes,Science,May be,6,8,2:00:00 AM,4,Yes,Yes,Doesn't matter,On daily basis
35,Male,179,70,8/4/2000,19,Aries,7.68,3,C++,No,Data,No,6,8,11:00:00 PM,6,Yes,Doesn't matter,Doesn't matter,On daily basis
36,Female,162,63,12/14/2000,18,Sagittarius,7.42,4,C++,No,Data,No,6,8,11:30:00 AM,6,Yes,Yes,Doesn't matter,On daily basis
37,Female,5'4,,8/13/2000,19,Leo,7.7,3,C++,No,Data,May be,6,9,11:30:00 PM,6-7,,Yes,Doesn't matter,Not so often
38,Male,177,56,5/22/2000,19,Gemini,8.32,3,C++,No,Data,No,6,5,12:30:00 AM,6,Yes,Not at all,Male,Once in a week
39,Male,156,84,6/12/2000,19,Gemini,9.21,3,C++,No,Data,No,30,9,11:00:00 PM,7,Yes,Yes,Doesn't matter,Once in a week
40,Female,160,48,8/23/2018,19,Sagittarius,8.79,2,C,No,Data,May be,8.5,8,10:00:00 PM,8,Yes,Yes,Doesn't matter,Not so often
